userId,prodId,rating,DateM,DateD,DateY,Helpa,Helpb,Reviewa,Reviewb
AO94DHGC771SJ,528881469,5,6,2,2013,0,0,We got this GPS for my husband who is an (OTR) ove,,
AMO214LNFCEI4,528881469,1,11,25,2010,12,15,I'm a professional OTR truck driver and I bought ,,
A3N7T0DY83Y4IG,528881469,3,9,9,2010,43,45,Well what can I say.  I've had this unit in my tr,,
A1H8PY3QHMQQA0,528881469,2,11,24,2010,9,10,Not going to write a long review even thought thi,,
A24EV6RXELQZ63,528881469,1,9,29,2011,0,0,I've had mine for a year and here's what we got. I,,
A2JXAZZI9PHK9Z,594451647,5,1,3,2014,3,3,I am using this with a Nook HD+. It works as descr,,
A2P5U7BDKKT7FW,594451647,2,4,27,2014,0,0,The cable is very wobbly and sometimes disconnects,,
AAZ084UMH8VZ2,594451647,5,5,4,2014,0,0,This adaptor is real easy to setup and use right o,,
AEZ3CR6BKIROJ,594451647,4,7,11,2014,0,0,This adapter easily connects my Nook HD 7&#34, to ,
A3BY5KCNQZXV5U,594451647,5,1,20,2014,3,3,This product really works great but I found the fo,,
A7S2B0I67WNWB,594481813,4,4,16,2014,2,2,This item is just as was described in the original,,
A3HICVLF4PFFMN,594481813,5,5,5,2014,0,0,bought for a spare for my 9&#34, Nook HD and it fi,
ANSKSPEEAKY7S,594481813,5,6,24,2013,1,1,My son crewed my HD charger cord so I needed anoth,,
A2QBZA4S1ROX9Q,594481813,3,5,25,2013,0,1,This is a good beefy 2 amp charger but it covers ,,
ANY6JUFM0GH8U,594481813,5,3,9,2014,2,2,I lost my B&N original cable.  I looked around for,,
AT09WGFUM934H,594481813,3,8,31,2013,0,0,It does 2A and charges a DEAD Nook in a few hours.,,
AGAKHE014LQFU,594481813,3,9,18,2013,3,5,Go to Target or Barnes and Noble instead and pay ,,
A1S6B5QFWGVL5U,594481813,4,6,27,2013,2,2,Works well a little pricey I think for a charging,,
A20XXTXWF2TCPY,972683275,5,7,12,2014,0,0,This is a great buy compared to a $60 or more a r,,
A2IDCSC6NVONIZ,972683275,5,4,30,2013,1,1,This mount is just what I needed.  It is strong an,,
A1EDI0X3GI1SK7,972683275,5,12,16,2011,0,1,Great deal easy to mount and it appears to be fai,,
A3BMUBUC1N77U8,972683275,4,11,23,2013,0,0,This mount works really well once you get it up an,,
AVRFGGCCCR6QU,972683275,4,8,30,2010,3,4,This wall mount does everything it's supposed to d,,
A3UOSOCRKS3WIH,972683275,5,5,12,2013,0,0,for the price you just cant beat this item. I boug,,
A371ZZ95ZQEIZV,972683275,4,1,7,2014,0,0,I received the mount which was well packaged for ,,
A7060R14RJF3I,972683275,4,5,18,2013,0,0,Took a bit of work but used this to fit an older ,,
A26QCCO0101CO1,972683275,5,2,21,2013,7,9,I used this for my 47&#34, Samsung. Its fit/feel i,
APBF796U7GUTV,972683275,5,3,17,2012,1,1,This item serves its purpose as well as any other ,,
A2HLNXOYLMERTC,972683275,5,4,16,2014,0,0,I love this mount.  This is the 4th one I've bough,,
A3CCITVF0WL6KE,972683275,5,1,9,2013,0,0,I am very glad for buying it.  It is heavy duty an,,
AYQNWE3AX4H08,972683275,5,7,18,2013,0,0,this holds up my 55inch sony with ease. make sure ,,
A3P24ZSF9IQRJJ,972683275,5,6,13,2014,0,0,Nice quality still works great... very happy with ,,
A1JI3XL5ME8CWM,972683275,4,5,8,2012,0,0,"Great bracket for small TVs.  I used it on a 19"" L",,
AQBLWW13U66XD,972683275,5,8,4,2013,0,0,"I bought this for a 22"" TV for my son. I mounted t",,
AUKEU9CW56TT4,972683275,5,4,7,2014,0,0,I am using this mount for a 39 inch Vizio TV and i,,
A23A7OH3AM0PDA,972683275,4,1,27,2011,0,0,"I installed this for my sister who had a 22"" Phili",,
A12AU3CNAWYO5D,972683275,5,12,23,2012,0,0,Didn't think it would work as well as it hasbecau,,
A5O0P0JV6PLU3,972683275,5,11,25,2012,0,0,very heavy duty construction extends tilts perfe,,
A27X48PMUGK6U4,972683275,5,11,20,2010,0,0,Well constructed wall mount for TV sets up to 37 i,,
A2KQDWZZUBBNOJ,972683275,4,5,31,2011,0,0,"I used it to mount a 32"" LCD TV to the wall... abo",,
A27XULAA9X5ZGQ,972683275,5,2,17,2012,0,0,This mount is excellent. It is very well built and,,
A3IIGCFLKVFW8M,972683275,5,2,27,2014,0,0,Works great and is so much cheaper than the more e,,
A20VSTDILG9K7H,972683275,4,6,13,2014,0,0,We bought this for the tv in our gym as it gets mo,,
A3VKO21KYDJQ2W,972683275,3,7,12,2011,0,0,For the price you can't beat it. Mine didn't come,,
A1MSO6LERG39PC,972683275,5,9,13,2012,1,1,Cannot beat this deal anywhere else on the web!  A,,
A20Q4FIBCAG2ZV,972683275,5,4,25,2013,0,0,This mount is easy to install and very sturdy and ,,
A1980MGZXSGJP,972683275,5,2,17,2013,0,0,Works like a charm! Lies flat on the wall when I w,,
A1GLL5CJ1SFAMS,972683275,5,1,12,2012,0,0,Easey to put together and install. Used to mount a,,
A2683OJ85CLWFA,972683275,5,2,10,2013,0,0,I hung this in my house with great ease and it hel,,
A3M6S7Y1FNPOLD,972683275,3,12,10,2012,0,0,Wanted the monitor off of the desk so we mounted ,,
AOU1TM9UA1BZF,972683275,5,1,2,2014,0,0,very secure we did have to use concrete bolts tho,,
A3S5643F4JNLQQ,972683275,5,7,12,2013,0,1,I live in a studio condo and I needed something to,,
AJIA55AVU0CUS,972683275,4,4,3,2013,0,0,Holds the TV fine and the articulation is great.  ,,
A3C51ESBUD8QAJ,972683275,4,12,23,2011,0,0,Another great buy from Amazon. The local stores wa,,
A3IC6OB22INS9,972683275,4,5,24,2013,0,0,Just to know that the TV will sit off center of wh,,
A3ISZ8KLXYYI7P,972683275,5,1,22,2014,0,0,This is the best mount I have ever found especial,,
A3QH8VQDE7HZCR,972683275,5,10,5,2010,15,19,Quality was excellent. Instructions were clear. It,,
A6J8D9V5S9MBE,972683275,5,6,1,2011,0,0,In the process of turning our master bedroom into ,,
A39Z4OU2C7ENWH,972683275,3,2,7,2012,1,1,I gave this mount 3 stars.5 to start because out o,,
A2E5IK9TUH8UPD,972683275,4,3,7,2012,0,0,For the price this wall mount is great.  Not too ,,
AEQR0VUFBZXUY,972683275,5,3,20,2013,0,0,Needed a corner mounted Flatscreen. This did the j,,
A13BWQDECDDVIZ,972683275,4,2,6,2011,0,0,I'd never bought one of these mainly due to the h,,
A12XCRHPREC51Y,972683275,4,6,17,2013,0,0,Only gave this four stars because it's only suppor,,
A3QPJS71FU70MX,972683275,4,9,27,2013,0,0,Nothing fancy just decent quality and simple inst,,
A2A3B0JX2JRS6S,972683275,5,9,18,2013,0,0,Amazing how easy it is to move my 46&#34, around o,
A1ZPEZMQBCTZQN,972683275,4,11,13,2013,0,0,Very sturdy. The arm is very stiff at first so you,,
A2OGXHE7PVLTOE,972683275,4,12,17,2011,0,0,Don't have anything to really complain about.  EXC,,
